,Symbol
sp500,MMM
sp500,AOS
sp500,ABT
sp500,ABBV
sp500,ACN
sp500,ADBE
sp500,AMD
sp500,AES
sp500,AFL
sp500,A
sp500,APD
sp500,ABNB
sp500,AKAM
sp500,ALB
sp500,ARE
sp500,ALGN
sp500,ALLE
sp500,LNT
sp500,ALL
sp500,GOOGL
sp500,GOOG
sp500,MO
sp500,AMZN
sp500,AMCR
sp500,AEE
sp500,AEP
sp500,AXP
sp500,AIG
sp500,AMT
sp500,AWK
sp500,AMP
sp500,AME
sp500,AMGN
sp500,APH
sp500,ADI
sp500,ANSS
sp500,AON
sp500,APA
sp500,APO
sp500,AAPL
sp500,AMAT
sp500,APTV
sp500,ACGL
sp500,ADM
sp500,ANET
sp500,AJG
sp500,AIZ
sp500,T
sp500,ATO
sp500,ADSK
sp500,ADP
sp500,AZO
sp500,AVB
sp500,AVY
sp500,AXON
sp500,BKR
sp500,BALL
sp500,BAC
sp500,BAX
sp500,BDX
sp500,BRK.B
sp500,BBY
sp500,TECH
sp500,BIIB
sp500,BLK
sp500,BX
sp500,BK
sp500,BA
sp500,BKNG
sp500,BWA
sp500,BSX
sp500,BMY
sp500,AVGO
sp500,BR
sp500,BRO
sp500,BF.B
sp500,BLDR
sp500,BG
sp500,BXP
sp500,CHRW
sp500,CDNS
sp500,CZR
sp500,CPT
sp500,CPB
sp500,COF
sp500,CAH
sp500,KMX
sp500,CCL
sp500,CARR
sp500,CAT
sp500,CBOE
sp500,CBRE
sp500,CDW
sp500,CE
sp500,COR
sp500,CNC
sp500,CNP
sp500,CF
sp500,CRL
sp500,SCHW
sp500,CHTR
sp500,CVX
sp500,CMG
sp500,CB
sp500,CHD
sp500,CI
sp500,CINF
sp500,CTAS
sp500,CSCO
sp500,C
sp500,CFG
sp500,CLX
sp500,CME
sp500,CMS
sp500,KO
sp500,CTSH
sp500,CL
sp500,CMCSA
sp500,CAG
sp500,COP
sp500,ED
sp500,STZ
sp500,CEG
sp500,COO
sp500,CPRT
sp500,GLW
sp500,CPAY
sp500,CTVA
sp500,CSGP
sp500,COST
sp500,CTRA
sp500,CRWD
sp500,CCI
sp500,CSX
sp500,CMI
sp500,CVS
sp500,DHR
sp500,DRI
